experiment,label,type,num_items,latency_ms,success
order_size,1,GROCERY_ORDER,1,1032.8,True
order_size,5,GROCERY_ORDER,5,1018.2,True
order_size,10,GROCERY_ORDER,10,1019.2,True
order_size,15,GROCERY_ORDER,15,1022.2,True
order_size,25,GROCERY_ORDER,25,1023.0,True
consecutive,1,GROCERY_ORDER,3,1021.1,True
consecutive,2,GROCERY_ORDER,3,1020.5,True
consecutive,3,GROCERY_ORDER,3,1023.7,True
consecutive,4,GROCERY_ORDER,3,1020.4,True
consecutive,5,GROCERY_ORDER,3,1018.3,True
consecutive,6,GROCERY_ORDER,3,1016.2,True
consecutive,7,GROCERY_ORDER,3,1020.7,True
consecutive,8,GROCERY_ORDER,3,1023.8,True
consecutive,9,GROCERY_ORDER,3,1023.3,True
consecutive,10,GROCERY_ORDER,3,1021.9,True
consecutive,11,GROCERY_ORDER,3,1022.5,True
consecutive,12,GROCERY_ORDER,3,1021.3,True
consecutive,13,GROCERY_ORDER,3,1019.4,True
consecutive,14,GROCERY_ORDER,3,1022.1,True
consecutive,15,GROCERY_ORDER,3,1021.2,True
consecutive,16,GROCERY_ORDER,3,1016.8,True
consecutive,17,GROCERY_ORDER,3,1018.7,True
consecutive,18,GROCERY_ORDER,3,1014.0,True
consecutive,19,GROCERY_ORDER,3,1013.7,True
consecutive,20,GROCERY_ORDER,3,1011.5,True
order_vs_restock,order_1,GROCERY_ORDER,5,1015.4,True
order_vs_restock,order_2,GROCERY_ORDER,5,1016.0,True
order_vs_restock,order_3,GROCERY_ORDER,5,1014.1,True
order_vs_restock,order_4,GROCERY_ORDER,5,1017.4,True
order_vs_restock,order_5,GROCERY_ORDER,5,1018.5,True
order_vs_restock,order_6,GROCERY_ORDER,5,1021.5,True
order_vs_restock,order_7,GROCERY_ORDER,5,1021.1,True
order_vs_restock,order_8,GROCERY_ORDER,5,1024.3,True
order_vs_restock,order_9,GROCERY_ORDER,5,1021.5,True
order_vs_restock,order_10,GROCERY_ORDER,5,1017.9,True
order_vs_restock,restock_1,RESTOCK_ORDER,5,1015.9,True
order_vs_restock,restock_2,RESTOCK_ORDER,5,1012.5,True
order_vs_restock,restock_3,RESTOCK_ORDER,5,1013.8,True
order_vs_restock,restock_4,RESTOCK_ORDER,5,1015.2,True
order_vs_restock,restock_5,RESTOCK_ORDER,5,1016.0,True
order_vs_restock,restock_6,RESTOCK_ORDER,5,1010.2,True
order_vs_restock,restock_7,RESTOCK_ORDER,5,1015.6,True
order_vs_restock,restock_8,RESTOCK_ORDER,5,1018.0,True
order_vs_restock,restock_9,RESTOCK_ORDER,5,1018.8,True
order_vs_restock,restock_10,RESTOCK_ORDER,5,1038.0,True
